file,function,line
docs/original_julia/src/db/machine/cols/col_timeline_step.jl,for_each_gpath,18
docs/original_julia/src/db/machine/cols/col_timeline_pow_step.jl,new,12
docs/original_julia/src/db/machine/cols/col_timeline_pow_step.jl,for_each_gpath,18
docs/original_julia/src/db/machine/cols/col_timeline.jl,new,13
docs/original_julia/src/db/machine/cols/col_timeline.jl,get_counter_graphs_step,25
docs/original_julia/src/db/machine/cols/col_timeline.jl,get_step,39
docs/original_julia/src/db/machine/cols/col_timeline.jl,for_each_gpath,67
docs/original_julia/src/db/machine/cols/col_timeline_pow.jl,new,13
docs/original_julia/src/db/machine/cols/col_timeline_pow.jl,get_counter_graphs_step,25
docs/original_julia/src/db/machine/cols/col_timeline_pow.jl,get_step,39
docs/original_julia/src/db/machine/cols/col_timeline_pow.jl,for_each_gpath,67
docs/original_julia/src/db/map/cols/map_col_vars.jl,new,8
docs/original_julia/src/db/map/cols/map_col_vars.jl,clean_title,18
docs/original_julia/src/db/map/cols/map_col_vars.jl,is_neg,24
docs/original_julia/src/db/map/cols/map_col_vars.jl,get_step_var,28
docs/original_julia/src/db/map/cols/map_col_vars.jl,get_step_neg_var,44
docs/original_julia/src/db/map/cols/map_col_nodes.jl,new,13
docs/original_julia/src/db/map/cols/map_col_nodes.jl,get_node,21
docs/original_julia/src/db/map/cols/map_col_lines.jl,new,15
docs/original_julia/src/db/map/cols/map_col_lines.jl,get_step,21
docs/original_julia/src/db/map/cols/map_col_lines.jl,get_ids_step,29
docs/original_julia/src/db/map/cols/map_col_lines.jl,get_node,46
docs/original_julia/src/db/map/docs/map_doc_node.jl,new,13
docs/original_julia/src/graph_pow/reader/path_pow_reader.jl,new,18
docs/original_julia/src/graph_pow/reader/path_pow_exp_reader.jl,new,18
